Time Step: 0, Visible Satellites: 9
Satellite 0 - x: 26570999.717712283, y: 2165.84108546726, z: 3210.9914573150268, Azimuth: 0.01, Elevation: 0.01, r_Earth: 26571000.00, theta_Earth: 0.00, phi_Earth: 89.99, r_Receiver: 20200000.09, theta_Receiver: 0.01, phi_Receiver: 0.01
Satellite 1 - x: 21491836.476684123, y: 8737002.251526972, z: 12953138.51992182, Azimuth: 30.02, Elevation: 36.57, r_Earth: 26571000.00, theta_Earth: 22.12, phi_Earth: 60.82, r_Receiver: 21743015.01, theta_Receiver: 30.02, phi_Receiver: 36.57
Satellite 9 - x: 21519133.548997052, y: -8715966.923517615, z: -12921952.363655286, Azimuth: -29.92, Elevation: -36.48, r_Earth: 26571000.00, theta_Earth: 337.95, phi_Earth: 119.10, r_Receiver: 21735015.12, theta_Receiver: 330.08, phi_Receiver: -36.48
Satellite 15 - x: 13315474.61449716, y: -22993771.707054, z: -51375.81692307487, Azimuth: -73.19, Elevation: -0.12, r_Earth: 26571000.00, theta_Earth: 300.07, phi_Earth: 90.11, r_Receiver: 24019614.99, theta_Receiver: 286.81, phi_Receiver: -0.12
Satellite 16 - x: 18318016.087490905, y: -14201216.934430532, z: -12992065.470881367, Azimuth: -49.93, Elevation: -34.99, r_Earth: 26571000.00, theta_Earth: 322.22, phi_Earth: 119.27, r_Receiver: 22653907.41, theta_Receiver: 310.07, phi_Receiver: -34.99
Satellite 17 - x: 16320558.758407775, y: 18153.769255046078, z: -20968001.174504478, Azimuth: 0.10, Elevation: -64.62, r_Earth: 26571000.00, theta_Earth: 0.06, phi_Earth: 142.10, r_Receiver: 23208858.70, theta_Receiver: 0.10, phi_Receiver: -64.62
Satellite 23 - x: 16373526.473749753, y: 129884.23900302581, z: 20926270.61609102, Azimuth: 0.74, Elevation: 64.45, r_Earth: 26571000.00, theta_Earth: 0.45, phi_Earth: 38.04, r_Receiver: 23194314.12, theta_Receiver: 0.74, phi_Receiver: 64.45
Satellite 24 - x: 18302026.037456274, y: 14320768.440234564, z: 12882914.080496471, Azimuth: 50.20, Elevation: 34.65, r_Earth: 26571000.00, theta_Earth: 38.04, phi_Earth: 61.00, r_Receiver: 22658403.88, theta_Receiver: 50.20, phi_Receiver: 34.65
Satellite 25 - x: 13236637.1950236, y: 23039151.610368144, z: -83485.57832785226, Azimuth: 73.41, Elevation: -0.20, r_Earth: 26571000.00, theta_Earth: 60.12, phi_Earth: 90.18, r_Receiver: 24040516.86, theta_Receiver: 73.41, phi_Receiver: -0.20
Time Step: 1, Visible Satellites: 9
Satellite 0 - x: 26570728.721965645, y: 67140.84539364425, z: 99540.39677356539, Azimuth: 0.19, Elevation: 0.28, r_Earth: 26571000.00, theta_Earth: 0.14, phi_Earth: 89.79, r_Receiver: 20200085.56, theta_Receiver: 0.19, phi_Receiver: 0.28
